"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"mass";"chi.distance";"inertie"
"classe 1";5,22487524671071;2,12456685431978;1,50169428280447;-0,376366142703557;-0,193622771882331;0,0545224798690939;-0,0892953022210343;0,167992515716969;-0,0323872838120951;0,0513155144168401;0,0159475138345058;0,0611094343597863;-0,00524606575395187;0,892206934120213;0,362793978788185;0,256431395733382;-0,0642688038340418;-0,033063292714165;0,0093103341817127;-0,0152481894904807;0,0286866346708159;-0,00553049744348672;0,00876270831910744;0,00272321955133408;0,0104351316541557;-0,000895825454487755;0,820932136447316;0,11872780161344;0,0560117920405355;0,00290806472523729;0,000728514601828664;5,20695207364822e-05;0,000130355550207589;0,000429173409407651;1,30172147088007e-05;2,92997345304144e-05;2,64239332585421e-06;3,49911555207597e-05;1,41593206061025e-07;0,773478990835979;0,127890261283425;0,0638939482863663;0,00401344917318724;0,00106220792552622;8,42263290892984e-05;0,000225919591558408;0,000799606910496902;2,97197892448262e-05;7,4609485476547e-05;7,20580734126205e-06;0,000105806707183801;7,79765705311529e-07;0,0283332681094196;4,93993590472555;0,691415799388907
"classe 2";0,473591615260956;-3,17872848646777;2,23317713174179;0,169698562359138;0,226151679544376;-0,0656886632544308;0,00779135541875599;0,172584378857427;-0,0382343268661065;-0,0650880403437433;0,0497199166057778;0,160601406139063;0,028486645082934;0,120430140985644;-0,808322418397251;0,567877107945395;0,0431528370254423;0,0575083632691895;-0,0167040435724998;0,0019812724746679;0,0438866745270969;-0,00972264969775533;-0,0165513105014689;0,0126433331454336;0,0408395110060441;0,0072439008060888;0,0169107014987966;0,66637193581238;0,310571045879459;0,00148230477026505;0,0024918576960251;0,000189500968887781;2,48826450195751e-06;0,00113567512669074;4,54856200323886e-05;0,000118186238763596;6,4397718212177e-05;0,000605952597387894;1,04678086015255e-05;0,01362253183605;0,613700800498494;0,302897832657298;0,00174906580079085;0,00310634334573129;0,000262078063053224;3,68702306162326e-06;0,00180905924413326;8,87885000353552e-05;0,000257307363106647;0,000150144906919231;0,00156656532253616;4,92870053387776e-05;0,060736508433452;3,11976736095397;0,591145301757413
"classe 3";0,629602560495007;-0,44718661421608;-1,41328934178946;3,96825396403854;-0,365289957597996;1,8104205453305;-1,45636025547763;-0,292159430833371;-0,250332256306168;0,136376800627309;-0,0320329964891233;0,180302044675177;-0,0595201883647064;0,128312627156558;-0,0911363658594373;-0,288027526817543;0,808727796389338;-0,0744458759768312;0,36896262976905;-0,296805353395974;-0,0595419181416939;-0,0510175648641251;0,0277935108109124;-0,00652830562185876;0,0367454494082454;-0,0121301789686563;0,0244585943030471;0,0107927552694538;0,101793886607097;0,663322922931861;0,0053203962223521;0,117797055198724;0,0711464208240779;0,00266339680382383;0,00159567983832899;0,000424610200583356;2,18750843753143e-05;0,000625008863624937;3,73978526347567e-05;0,0158075753328895;0,0079746178305791;0,0796515912857354;0,627958880524661;0,00532117760854939;0,13070470705682;0,0845804372252114;0,00340386328620326;0,00249899804640301;0,000741674392540138;4,09192270375126e-05;0,00129638379184504;0,00014127355796214;0,0398779008335616;3,4486550467243;0,474276712804432
"classe 4";-0,031043581410509;-0,586556883467538;-0,87776719345349;-2,274110805046;-2,51541586959526;3,69284261381188;0,539901982323674;1,30704389676177;-0,400850394135257;-0,339028211145503;-0,082929882493219;0,273932522811155;0,0251958772807718;-0,00580385657624099;-0,109661703668638;-0,164105901015952;-0,425163990469826;-0,470277985767107;0,690407740195194;0,100939180605432;0,244362762638219;-0,0749423259296731;-0,0633841529676708;-0,0155044335094734;0,0512139708669567;0,00471057949520814;5,45760372959039e-05;0,0170425606979648;0,0360394419907173;0,199944365723056;0,231551683323252;0,449838819796721;0,00897439339604546;0,0489256090422448;0,00375523049446556;0,00240846834604884;0,000134566371949616;0,00132413390555291;6,1508746960078e-06;3,2547117993212e-05;0,0116195463397542;0,0260212161865329;0,174659472468206;0,213692113193013;0,460564540767903;0,00984461518789181;0,0576964706522784;0,00542667147524172;0,00388186633362128;0,000232268866634941;0,00253428874681365;2,14401524741077e-05;0,0337729425116425;3,59972924663693;0,437631499634778
"classe 5";-0,0682148530523611;-0,2319892169663;-0,734147421517211;-1,0262521768838;-0,985859195264786;-1,73174460717707;-3,27533820305908;0,842892565122209;-0,660691713310204;-0,209388268332055;-0,161787746701974;0,432490289158401;-0,0894204827039969;-0,0161860393164412;-0,055046465964306;-0,174198704490652;-0,243509402136718;-0,233924944216801;-0,410908842335076;-0,777173160347679;0,200001782428992;-0,156769113604588;-0,0496837065825338;-0,0383890415629348;0,102621416173447;-0,0212177170217029;0,000463137043186121;0,0046853650918955;0,0443076978156573;0,0715628077213045;0,0625102727905932;0,173858641952014;0,580471393790355;0,0357596781511617;0,0179292841485233;0,00161460844124523;0,000900116987286238;0,00580083743070342;0,000136158636084996;0,00024802365800544;0,00286860539373552;0,0287277602841445;0,0561362497014442;0,051804202897258;0,159846414967758;0,571804428016188;0,0378686356816327;0,0232666004590493;0,00233689878677108;0,00139516786783206;0,00996983414842186;0,0004261958656203;0,0533009822721403;2,71533367563892;0,392990112832937
"classe 6";0,264176440483934;-0,39842442520442;-0,862772572983805;-0,752027930088986;-0,230871950287689;-0,290483045085066;0,638189043226904;-3,72389864585696;-1,89615576582777;-0,368596399726322;-0,199382759243773;1,52898115229896;0,0512362589763752;0,056243060310934;-0,0848244034747079;-0,183683941565936;-0,160106450635873;-0,0491525474427123;-0,0618437260873636;0,135870196381766;-0,792816557551717;-0,403690817019932;-0,0784740285781139;-0,0424485110502877;0,325519486164253;0,0109081793911526;0,00645954101780543;0,012851730745553;0,0569071924584071;0,0357362517414702;0,00318805513455136;0,00454916869020119;0,0204941106715466;0,649092705671384;0,137333067844411;0,00465293060226293;0,0012712904306854;0,067422384241153;4,1570750580244e-05;0,00302611921931248;0,00688319027277482;0,0322768041350898;0,0245225600304617;0,00231121426181044;0,00365880650514369;0,0176602380316799;0,601303275782638;0,155899918233333;0,00589114949037125;0,00172374519741304;0,101368292075556;0,000113828939504354;0,0433608578249129;2,81573818987267;0,343781425340642
"classe 7";0,418736965957692;-0,421198685991201;-1,44102695785394;0,9402785244482;-0,659442386921656;-1,95118817353035;2,57824410182508;2,20413166530603;-1,81460770684319;-0,304419054924551;0,0473362204284037;0,318517520682985;-0,0318728868434944;0,0881773281388561;-0,0886957153671828;-0,303450416967635;0,198003173191462;-0,138864901997061;-0,410879797642284;0,542924782551132;0,464144455621264;-0,382118781521133;-0,0641043449230959;0,00996802714090997;0,0670731896693262;-0,00671176951264291;0,0138672948114673;0,0122726790418637;0,135648302110144;0,0477364088910392;0,022224543568733;0,175381761185877;0,28580782053121;0,194304001537768;0,107470248858932;0,00271183784153106;6,12283257594082e-05;0,00250012744896977;1,37458466994913e-05;0,00744509848649893;0,00753289403954821;0,0881722765307019;0,0375405712964918;0,0184646704461625;0,161653887529812;0,282251272794838;0,206282749259779;0,139814864233639;0,00393488015834756;9,51425967371489e-05;0,00430778972784053;4,31350836917757e-05;0,042460767815912;3,04610202175414;0,393982319755962
"classe 8";-0,572024725490514;0,606751963319487;0,461269254861164;0,068689910344995;0,105337857285377;0,0600217404666295;0,0329071357287732;0,0243961991933708;0,0272727703823839;-0,00630677500297586;1,99252541738079;0,272291930034259;-0,303982808906934;-0,254127462343161;0,269555370317064;0,204923283856779;0,0305161504856005;0,0467973518760824;0,026665233005662;0,0146193101855241;0,0108382451239556;0,0121161894224062;-0,00280184519244548;0,885198498262511;0,120968297544816;-0,135047273974429;0,145473149065818;0,143163344195082;0,078130978051929;0,00143207809696517;0,00318780821605988;0,00093292639158718;0,000261728068486731;0,000133812015182315;0,000136466281336365;6,54302859050217e-06;0,609841619274261;0,0102709148432737;0,00702863247142902;0,0539356690425141;0,0606832522328698;0,0350715923344613;0,000777736294558483;0,00182900725220219;0,000593832054641183;0,0001784952373046;9,81049247355697e-05;0,000122604096045042;6,55633510239638e-06;0,654416450275213;0,0122212606903857;0,0152315645381489;0,164833874691817;1,28476115893298;0,272076645557776
"classe 9";0,190479659829242;-0,424180353896695;-0,939186202686558;-0,305942387142515;-0,579603615819706;-0,625161400236284;0,550460403537839;-0,224415007770754;2,19164061347785;4,10126407227863;-0,220824587510509;1,21530045741633;0,0602724091041749;0,0377761683523715;-0,0841239871749819;-0,186260601991401;-0,0606748832562113;-0,114947726116672;-0,123982803853709;0,109168007198255;-0,0445062697085167;0,434648953367798;0,813367906005394;-0,0437942129969058;0,241019932097892;0,0119533008162837;0,00352099324927231;0,0152730331948701;0,0707021129853313;0,00620118726876022;0,0210668760152894;0,0220917063410998;0,0159858982695878;0,0024715494563011;0,192362435126476;0,603968587179066;0,00163500436636249;0,0446603016451188;6,03149024688503e-05;0,00137303558415755;0,00680903676809265;0,0333801271650038;0,00354212498298421;0,0127129620738358;0,0147900243699759;0,0114666550393128;0,00190584849349301;0,18177044008728;0,636531713688211;0,00184535291356644;0,055892289756078;0,000137474351753091;0,0378429147262552;2,74988813898126;0,286163760782365
"classe 10";-0,580148719034316;0,622134522491464;0,531791570958855;0,138817884977089;0,113189926460729;0,0452154644237045;0,0668909857973148;0,0737112370189228;-0,0326899049703849;-0,0350792575580621;-0,741798307813032;-0,0459497411010146;1,61712358779332;-0,282404458673866;0,302842283852623;0,258865194038422;0,067573689943607;0,0550985270857524;0,0220099576803658;0,0325611554666461;0,035881113420641;-0,0159127730776143;-0,0170758607514562;-0,361092152218883;-0,0223673884576288;0,787182486896947;0,213615607046654;0,214871652267897;0,148251197397984;0,00834973547106639;0,00525460225822685;0,000755797182650542;0,00154385459530264;0,00174389059646781;0,000279895056699105;0,00028897880835075;0,12066520725532;0,000417548369724644;0,283962033693655;0,0644747217424603;0,0741445789985701;0,0541743488375312;0,00369148958645412;0,00245429270607939;0,000391637972129927;0,000857128614514325;0,00104082616270883;0,000204709556479937;0,000235728225706871;0,105410161263906;0,000404461267639419;0,500953280541498;0,191562634524322;1,0752807351811;0,221490208117074
"classe 11";-0,563792554975964;0,581632238813076;0,5335033395144;0,102603720524286;0,146799111556122;0,0661221199661363;0,148269945037481;0,0270485636464871;0,0238514542034105;-0,039781942312462;-1,24580607412328;-0,0962134384074101;-1,82273273658619;-0,232390629515694;0,239743999688246;0,219905665344875;0,0422924052345949;0,0605093799940763;0,0272549911278941;0,0611156453936972;0,0111491942875522;0,0098313722099995;-0,016397787689382;-0,513510962968155;-0,0396583837832351;-0,751315362992309;0,159473534683199;0,148457828951555;0,117946549002002;0,00360581740935516;0,006986614643332;0,0012776751787991;0,00599615841354916;0,000185624755718114;0,000117785893424686;0,000293787165471224;0,269033844301639;0,00144713073873686;0,285177648863219;0,046162331200521;0,0491299136388026;0,041335514149265;0,00152888661136442;0,00312965102489952;0,000634954488821532;0,00319267941798853;0,000106252088424042;8,26187813848912e-05;0,00022983757244309;0,225397942531626;0,00134437531736724;0,482497476942209;0,145227566234884;1,20941136000956;0,212420852102671
"classe 12";0,238488872124918;-0,409530670954934;-0,787533345622332;-0,29841565591343;-0,233074863583861;-0,359778604925506;0,183257088695691;-0,763502540763647;0,509150835571517;-0,0856057941052845;0,290608462745662;-2,78487320041898;0,0255334400727883;0,0760223623499588;-0,130544829129178;-0,251039576103228;-0,0951250384247219;-0,0742965555422581;-0,114685516459163;0,0584162970619656;-0,243379350541126;0,16230044180983;-0,027288295008243;0,0926363635333194;-0,887725442510576;0,00813921595569347;0,0151440259437258;0,0390601752995693;0,136396747916107;0,0161873545641727;0,00934686502531788;0,020074870149988;0,004861200893962;0,0784916775716884;0,0284846990301311;0,0007219752860277;0,00776922505618346;0,643431484161246;2,96991018797805e-05;0,00524630973249005;0,0154700085374416;0,0572078453407022;0,00821411720765977;0,00501081726316422;0,0119395608825959;0,00309769926949353;0,0537698296805364;0,0239117085828279;0,000675964686229493;0,00778994160004378;0,715366402217537;6,01362507931646e-05;0,0922396587484835;1,66014669211918;0,254220527991156
"classe 13";0,424270905139939;-0,428588037343856;-1,29969287991488;0,113525799269439;-0,426331963532673;-0,890769889826856;0,708077620583334;-0,277409560246982;4,64107631282907;-4,00096972825092;-0,249638374252144;2,03364019935558;0,104773937607487;0,0629842082752522;-0,0636250986841612;-0,192943060791362;0,0168532239641613;-0,0632901781862284;-0,132237293640659;0,105116112817484;-0,0411822288742121;0,688980822317172;-0,593955200826269;-0,0370595182627626;0,301899603110635;0,0155539855034641;0,00959527985391951;0,00856460723178406;0,0743727141564121;0,000469016203674786;0,00626090222725464;0,0246365093219808;0,0145294702198458;0,00207449085594774;0,473829582688947;0,315727623758359;0,00114775691557297;0,0686919320101893;0,000100114556111916;0,0038814697422022;0,00396086275077667;0,0364242974107891;0,000277906586779261;0,00391927279240885;0,0171096356255158;0,0108111387367744;0,00165940560122685;0,46445872215271;0,345175716365027;0,00134379306392551;0,0891780435056425;0,000236709798418166;0,0215630258678042;3,71033774859412;0,296849685788832
"classe 14";0,500974878304931;-0,502459183411695;-1,64024794902331;-1,11082355351431;3,87837401141903;0,91725052701197;-0,299471061416309;0,847705459191022;-0,23236618965304;0,0241121260444411;-0,0581464830308999;0,314656251525502;0,0441303834975738;0,108604883465471;-0,108926661642638;-0,355584571347958;-0,240812199981595;0,840781396007035;0,198848067854895;-0,0649214584101412;0,183771595334261;-0,050373988879385;0,0052271975154158;-0,0126054065522505;0,0682134115072506;0,00956689719304308;0,0176575310440573;0,015536596063435;0,156342875386698;0,0592673906589268;0,683860384050092;0,0344787088293264;0,00343024154914046;0,0255673415968607;0,00156768052186993;1,51349153880672e-05;8,21866100102871e-05;0,00217048686203081;2,344191216589e-05;0,0112655764689257;0,0113324314151362;0,120764845396377;0,0553874897349574;0,67518206720936;0,0377656933867407;0,00402560581418249;0,0322560722317134;0,00242363600632691;2,60971170458779e-05;0,000151763881803528;0,00444420672515243;8,74172068855496e-05;0,0448870974053927;3,22960922118142;0,468189290987611
